Measure,pVal,tVal,coef,R2,R2adj,Fstat,Fstat_pVal,significant,pVal_FDR
CogStatus,1.789193297025713e-20,-9.364338644150553,-0.05275669785909597,0.3477490742074417,0.3468821035484353,401.10823889466104,8.257278683572134e-209,True,1.0735159782154278e-19
SleepScore,0.8353404041838143,-0.20788130253182396,-0.0016909224036660492,0.0028027835667772116,0.00147731097072068,2.114554141002891,0.09635249996832075,False,0.8353404041838143
EpisodicMemory,0.33964866353009115,-0.9550761150366803,-0.04062336632878798,0.18694410902021596,0.1857875572549531,161.63920598722962,2.6475448511726615e-94,False,0.40757839623610936
ExecFxnCogFlex,0.0002565182503696703,-3.6619027949184204,-0.11263533731706414,0.2766741100492296,0.2756442203150805,268.6444003423328,1.2411608788405915e-147,True,0.00046173285066540657
ExecFxnInhib,7.602781388195683e-10,-6.181434673869712,-0.18390216848177957,0.4031047446488416,0.40225648042996265,475.21130289047744,6.727042814133993e-236,True,1.7106258123440287e-09
LangRead,2.462229524371357e-14,-7.67752216026298,-0.23125084303557347,0.1096033235471966,0.10833855554087157,86.65883624433815,7.018114198569703e-53,True,7.386688573114071e-14
LangVocab,3.1018408768730004e-17,-8.515527994978399,-0.2866379848556809,0.059143862800532965,0.05780551836639436,44.19180988980448,1.080343552363971e-27,True,1.1166627156742802e-16
ProcSpeed,0.4216685900753442,0.8036863376423593,0.03914099683782336,0.2918929805330128,0.29088714669854265,290.20000175951,1.0045891523364853e-157,False,0.47437716383476225
WM,0.0040615756400300285,-2.8764907464265,-0.10224744721321735,0.23315818359671536,0.23206891965296061,214.05113511150006,3.1495748551407016e-121,True,0.006092363460045043
FluidCog,0.039932377791973735,-2.055735194175576,-0.07251252867214132,0.41174523120843,0.4108984153224535,486.2275708653038,1.8045225630380126e-239,False,0.055290984635040556
ChildCog,8.719068405084478e-08,-5.3706094389641965,-0.17562971927922066,0.3459879374512733,0.3450491641557488,368.55323761416923,4.161108041608494e-192,True,1.7438136810168955e-07
TotalCog,7.455246317829809e-12,-6.888253260635242,-0.2855394183303994,0.2985990012280987,0.29758785130194987,295.30635715454696,1.0648391914770047e-159,True,1.917063338870522e-11
CrystalCog,1.2985256567601e-19,-9.151055326157572,-0.28336109808268156,0.09709752652896286,0.09580520428639949,75.13414482161654,3.714587850074105e-46,True,5.84336545542045e-19
MotorEndurance,0.0010696676309413344,-3.2760284763042966,-0.1919660804824848,0.2572538947949474,0.2562082644262871,246.02756624651585,4.493455753040435e-137,True,0.001750365214267638
MotorGaitSpeed,0.5518263611387341,0.5951199533757987,0.00044889868865164286,0.04423616337612535,0.042893169694686595,32.93847468346745,8.284486093693676e-21,False,0.5842867353233655
MotorDext,9.712563131805825e-41,-13.650894578812553,-0.7443940729716875,0.5991177138392723,0.5985544132029808,1063.584301597206,0.0,True,1.7482613637250487e-39
MotorStrength,1.3669108814602253e-25,-10.593301633696237,-0.29245038496588555,0.650806269185398,0.6503151387623113,1325.1190286588865,0.0,True,1.2302197933142028e-24
UKBfluidCog,0.18241034000529507,-1.3343613291859522,-0.016188212844985117,0.009746328073068078,0.0065690435642116185,3.0675024681928296,0.027207745452476048,False,0.23452758000680796
